year;HIL tikness nm;HIL HOMO;HIL LUMO;HTL tikness  nm;HTL  HOMO;HTL  LUMO;HTL HOMO-EML HOMO;HTL LUMO-EML LUMO;EML tikness  nm;EML HOMO;EML LUMO;EML/Matrix;Matrix HOMO;Matrix LUMO;EML HOMO-ETL HOMO;EML LUMO-ETL LUMO;Matrix HOMO-ETL HOMO;Matrix LUMO-ETL LUMO;ETL tikness nm;ETL  HOMO;ETL  LUMO;ETL tikness nm;ETL  HOMO;ETL  LUMO;EIL tikness nm;EIL LUMO;Cathode nm;Cathode LUMO;Max. irradiance  uW/cm2;EQE  %;ECE  uW/W;Uon;t  us;QY  %;hole mobilty  cm2/Vs;electron mobility  cm2/Vs;total  cm2/Vs;Pixel size  mm2
2000;50;-5.5;-2.3;0;;;;;25;;;0;;;;;;;0;;;50;-5.8;-2.7;0;;100;-4.32;;;;15;12;1.41;;;;
2001;30;-5.5;-2.3;0;;;;;30;;;1;-5.5;-2.3;;;;;0;;;60;-6.4;-3;0;;150;-4.32;;;;4.5;;;;;;
2001;40;-5.5;-2.3;0;;;;;20;;;0;;;;;;;0;;;40;-6.7;-2.9;0;;150;-4.32;;3.00E-04;;9;;;;;;
2012;20;-5.5;-2.4;0;;;;;50;;;1;-5.5;-2.4;;;;;0;;;40;-5.8;-2.7;1;-3.6;150;-4.2;0.14;0.00073;;7;18;0.9;;;;
2012;20;-5.5;-2.4;30;-5.5;-2.4;;;50;;;0;;;;;;;0;;;0;;;1;-3.6;150;-4.2;0.42;0.0064;;6.3;;;;;;
2012;30;-5.5;-2.4;0;;;;;50;;;0;;;;;;;20;-6.7;-2.9;30;-5.8;-2.7;1;-3.6;150;-4.2;0.8;;0.1;10;24;1.2;;;;
2012;20;-5.5;-2.4;20;;;;;40;;;0;;;;;;;0;;;20;-5.8;-2.7;1;-3.6;150;-4.2;1.47;0.027;;6.7;;;;;;
2016;25;-5.2;-2.4;0;;;0.72;0.26;40;-5.92;-2.66;0.11;-5.6;-2.1;0.78;0.24;-0.12;0.04;15;-6.7;-2.9;6;-5.8;-2.7;0.5;-3.6;120;-4.2;2;;;8;1.2;0.38;;;1.24E-10;
2016;25;-5.2;-2.4;0;;;0.72;0.26;40;-5.92;-2.66;0.11;-5.6;-2.1;0.78;0.24;-0.12;0.04;15;-6.7;-2.9;10;-5.8;-2.7;0.5;-3.6;120;-4.2;22.48;;51;7.6;;2.4;6.24E-08;2.69E-12;3.21E-06;
2016;25;-5.2;-2.4;0;;;0.72;0.26;40;-5.92;-2.66;0.11;-5.6;-2.1;0.78;0.24;-0.12;0.04;15;-6.7;-2.9;10;-5.8;-2.7;0.5;-3.6;120;-4.2;12.13;;44;7.7;;1.41;;;2.69E-05;
2016;25;-5.2;-2.4;0;;;0.72;0.26;40;-5.92;-2.66;0.11;-5.6;-2.1;0.78;0.24;-0.12;0.04;15;-6.7;-2.9;10;-5.8;-2.7;0.5;-3.6;120;-4.2;9.6;;42;7.9;;1.33;;;1.30E-07;
2016;25;-5.5;-2.4;0;;;0.42;0.26;40;-5.92;-2.66;0.11;-5.6;-2.1;0.78;0.24;-0.12;0.04;15;-6.7;-2.9;10;-5.8;-2.7;0.5;-3.6;120;-4.2;19.29;;47;7.7;;1.92;;;4.50E-08;
2017;30;-5.4;-2.4;10;-5.9;-2.4;;;60;;;0.25;-6.1;-2;;;;;10;-6.1;-2;40;-6.8;-2.7;0.8;-3.6;100;-4.2;1.4;0.14;;5;42.6;0.4;;;;
2017;30;-5.4;-2.4;10;-5.9;-2.4;;;60;;;1;-6.1;-2;;;;;10;-6.1;-2;40;-6.8;-2.7;0.8;-3.6;100;-4.2;1.5;0.15;;5;42.6;0.4;;;;
2017;30;-5.4;-2.4;10;-5.9;-2.4;;;60;;;0;;;;;;;10;-6.1;-2;40;-6.8;-2.7;0.8;-3.6;100;-4.2;0.72;0.09;;4;42.6;0.4;;;;
2021;40;-5.2;-2.3;35;-5.8;-2.2;0.42;1.14;40;-6.22;-3.34;0;;;0.58;-0.64;0.58;-0.64;0;;;18;-6.8;-2.7;1;-3.6;40;-4.2;11;0.042;;5;11;3.2;;;;
2021;40;-5.2;-2.3;35;-5.8;-2.2;0.38;1.14;40;-6.18;-3.34;0;;;0.62;-0.64;0.62;-0.64;0;;;18;-6.8;-2.7;1;-3.6;40;-4.2;30;0.032;;8;8.83;2.2;;;;
2022;1;-5.3;-2.3;40;-5.5;-2.4;;;20;;;1;-5.5;-2.8;;;;;0;;;40;-5.5;-2.8;1.2;-3.6;40;-4.2;2;;;5.5;;;;;;12
2022;1;-5.3;-2.3;40;-5.5;-2.4;;;20;;;1;-5.5;-2.8;;;;;0;;;40;-5.5;-2.8;1.2;-3.6;40;-4.2;1.8;;;5.5;;;;;;12
2022;1;-5.3;-2.3;40;-5.5;-2.4;;;20;;;1;-5.5;-2.8;;;;;0;;;40;-5.5;-2.8;1.2;-3.6;40;-4.2;2.2;;;5;;;;;;12
2023;40;-5.2;-2.3;15;-5.2;-2.3;;;40;;;0.33;-6;-2.9;;;;;0;;;15;-6.8;-2.7;1;-3.6;100;-4.2;12;;9;5.5;8.7;0.5;;;;12
2023;40;-5.2;-2.3;15;-5.2;-2.3;;;40;;;0.33;-6;-2.9;;;;;0;;;15;-6.8;-2.7;1;-3.6;100;-4.2;13;;9.8;6;8.1;0.6;;;;12
2023;40;-5.2;-2.3;15;-5.2;-2.3;;;40;;;0.33;-6;-2.9;;;;;0;;;15;-6.8;-2.7;1;-3.6;100;-4.2;19;;9.6;6;7.8;0.8;;;;12
2024;10;-9.62;-5.42;40;-5.51;-2.3;;;20;;;0.2;-5.9;-2.4;;;;;0;;;50;-6.8;-2.7;0.8;-3.6;100;-4.2;121;0.1;;4;;;;;;8
2024;10;-9.62;-5.42;40;-5.51;-2.3;;;10;;;0;;;;;;;20;-7.55;-3.5;30;-6.8;-2.7;0.8;-3.6;100;-4.2;9;0.17;;4.5;;;;;;8
2013;20;-5.5;-2.3;0;;;-1.021;-0.354;50;-4.479;-1.946;0;;;;;;;0;;;20;;;0;;150;-2.6;50;;44;9.5;10;1.6;;;;25
2013;50;-5.2;-2.4;0;;;0.4;0.4;20;-5.6;-2.8;0.13;-6;-2.9;1.1;0.1;1.1;0.1;0;;;35;-6.7;-2.9;1;-3.6;100;-4.2;86;0.14;;5;;0.9;;;;
2016;50;-5.2;-2.3;0;;;-0.934;0.169;30;-4.266;-2.469;0;;;2.034;0.231;2.034;0.231;0;;;20;-6.3;-2.7;0;;100;-4.2;;0.21;;5;52;1.5;;;;
2019;50;-5.2;-2.3;13;-5.8;-2.2;;;29;;;0;;;;;;;0;;;11;-6.8;-2.7;1;-3.6;43;-4.2;8.25;0.02;;5;12;0.9;;;;12
2022;50;-5.2;-2.3;15;-5.8;-2.2;-0.671;0.433;31;-5.129;-2.633;0;;;1.671;0.067;1.671;0.067;0;;;13;-6.8;-2.7;1;-3.6;100;-4.2;6.5;0.04;82;4.8;12;1.4;2.62E-06;6.89E-07;;12
2022;50;-5.2;-2.3;15;-5.2;-2.3;-0.071;0.333;31;-5.129;-2.633;0;;;1.371;0.367;1.371;0.367;0;;;13;-6.5;-3;1;-3.6;100;-4.2;2;0.02;54;3.8;12;1.4;2.68E-06;1.69E-06;;12
2022;50;-5.2;-2.3;15;-5.2;-2.3;-0.071;0.333;31;-5.129;-2.633;0;;;1.671;0.067;1.671;0.067;0;;;13;-6.8;-2.7;1;-3.6;100;-4.2;2.5;0.025;79;3.8;12;1.4;;;;12
2022;50;-5.2;-2.3;15;-5.8;-2.2;-0.662;0.45;23;-5.138;-2.65;0;;;1.662;0.05;1.662;0.05;0;;;13;-6.8;-2.7;1;-3.6;100;-4.2;4;0.0003;93;3.9;10;0.5;;;;12
2022;50;-5.2;-2.3;15;-5.8;-2.2;-0.662;0.45;23;-5.138;-2.65;0;;;1.362;0.35;1.362;0.35;0;;;13;-6.5;-3;1;-3.6;100;-4.2;10;0.12;441;3.4;10;0.5;;;;12
2022;50;-5.2;-2.3;15;-5.8;-2.2;-0.671;0.433;31;-5.129;-2.633;0;;;1.371;0.367;1.371;0.367;0;;;13;-6.5;-3;1;-3.6;100;-4.2;8;0.14;376;4.2;12;1.4;;;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;0.639;0.757;30;-5.839;-3.057;0;;;0.661;-0.057;0.661;-0.057;0;;;13;-6.5;-3;1;-3.6;100;-4.2;7.5;0.035;113;4;13.3;0.94;9.34E-05;6.06E-05;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;0.627;0.895;30;-5.827;-3.195;0;;;0.673;-0.195;0.673;-0.195;0;;;13;-6.5;-3;1;-3.6;100;-4.2;17;0.06;188;4.5;14.2;0.91;6.47E-05;6.08E-05;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;0.691;0.947;30;-5.891;-3.247;0;;;0.609;-0.247;0.609;-0.247;0;;;13;-6.5;-3;1;-3.6;100;-4.2;7;0.12;429;4.5;14.4;0.95;1.55E-04;1.01E-04;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;0.724;0.885;30;-5.924;-3.185;0;;;0.576;-0.185;0.576;-0.185;0;;;13;-6.5;-3;1;-3.6;100;-4.2;4;0.07;245;4.5;13.9;1.02;8.36E-05;2.25E-04;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;0.8;2.5;30;-6;-4.8;0;;;0.5;-1.8;0.5;-1.8;0;;;13;-6.5;-3;1;-3.6;100;-4.2;9;0.025;;4;14;0.9;4.94E-07;2.33E-06;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;;;30;;;0;;;;;;;0;;;15;-6.5;-3;1;-3.6;100;-4.2;7;;110;4;12.4;0.5;;;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;;;30;;;0;;;;;;;0;;;15;-6.5;-3;1;-3.6;100;-4.2;2;;70;3;9.2;1.3;;;;12
2022;50;-5.2;-2.3;20;-5.2;-2.3;;;30;;;0;;;;;;;0;;;15;-6.5;-3;1;-3.6;100;-4.2;8;;80;5;11.4;1.9;;;;12
2024;50;-5.2;-2.3;20;-5.2;-2.3;;;26;;;0;;;;;;;0;;;20;-6.8;-2.7;1;-3.6;100;-4.2;0.2;;15;5;10;0.9;;;;12
